time,angle,error,voltage
4.634395360946655,83,7,100
4.646422386169434,80,10,100
4.655535459518433,78,12,100
4.6701271533966064,78,12,100
4.679360389709473,79,11,100
4.691125154495239,80,10,100
4.702642440795898,83,7,100
4.711581230163574,87,3,100
4.724664688110352,91,-1,-100
4.736360549926758,95,-5,-100
4.745622396469116,100,-10,-100
4.757053852081299,102,-12,-100
4.768773317337036,104,-14,-100
4.776215553283691,104,-14,-100
4.782009840011597,104,-14,-100
4.786674976348877,104,-14,-100
4.792311429977417,104,-14,-100
4.796949625015259,103,-13,-100
4.802596092224121,103,-13,-100
4.807677984237671,101,-11,-100
4.8224310874938965,98,-8,-100
4.8314831256866455,94,-4,-100
4.841313362121582,91,-1,-100
4.846283435821533,89,1,100
4.852215051651001,87,3,100
4.856917858123779,84,6,100
4.8655335903167725,82,8,100
4.871182441711426,81,9,100
4.884345293045044,78,12,100
4.890276670455933,77,13,100
4.894975900650024,77,13,100
4.9016196727752686,77,13,100
4.9069602489471436,77,13,100
4.912776231765747,78,12,100
4.918351888656616,79,11,100
4.924227237701416,79,11,100
4.929981708526611,81,9,100
4.934540033340454,82,8,100
4.940392255783081,84,6,100
4.9450953006744385,85,5,100
4.951505422592163,88,2,100
4.956532001495361,89,1,100
4.962351560592651,91,-1,-100
4.967099189758301,94,-4,-100
4.972689628601074,96,-6,-100
4.979336738586426,98,-8,-100
4.984791994094849,99,-9,-100
4.990621328353882,101,-11,-100
4.995208263397217,102,-12,-100
5.0009918212890625,103,-13,-100
